hot_diggity_d, honestly would ive seen first hand effect drugs alcohol depression
momsbipolar, im lonely around people draining bipolarmom bipolardisorder mentalhealthmatters
momsbipolar, hardest part day getting bed bipolarmom bipolardisorder mentalhealthmatters
momsbipolar, use social butterfly im social awkward bipolarmom bipolardisorder socialanxiety mentalhealthmatters
momsbipolar, today day couldnt didnt bipolarmom bipolardisorder mentalhealthmatters
momsbipolar, confession daughter trigger shes great kid puberty bipolar horrible
momsbipolar, confession even medication therapy parenting among things extremely difficult someone
momsbipolar, confession diagnosed months ago bipolar ptsd im single mother 13 year old girl hell
GatJamTV, way treat pain strengthen body constant pain strengthens depression turn
BackToCarolina, unless another month seasonal depression give
BackToCarolina, mornings give anxiety idk fuck yet fully
BackToCarolina, suppose today day clean depression pit maybe
coolpissguy, depression stems fact unkillable outlived emperors kings 1300 years tired
coolpissguy, terribly depressed sometimes think trying get british united states government assassinate way
coolpissguy, sem cannot stress enough tex
JillMe, ill praying might want look free anxiety app
RlVALSILVER, idk whats going depression anxiety dysphoria mental illness isnt excuse jerk
julidosad, proud illustrate haunting true story amp struggle depression homelessness amp addic
julidosad, tomorrow film depression debuts adelphi manchester 12th18th nov amp neo screen 17th th
julidosad, checking got tgus depression film link morning weve noticed edit
USERNAMEALLIE, seasonal depression asking could done lower suffering animals life
USERNAMEALLIE, wow good luck good relationship children choose church wellbeing safety
USERNAMEALLIE, depression showers
USERNAMEALLIE, ive literally depression bathing since little
peachysloth, depression know okay aint ever texted help aint friend anymore like
PipkinChloe, dont worry ok know going self depression remember tha
ThatCrazyChicky, days crazier others however stress una capricorn
ThatCrazyChicky, stress writing one healthy ways relieve stress
ThatCrazyChicky, long since ive done writing forgot much stress reliever
jawnhto, terrible anxiety depression well
DMSX900, battle depression time time know feel rob things get better time
bdtnmn, theyre working great anxiety depression rn im horny want drink
MaryVarshini108, smartest dogs greatest stress
RebelLoveLiz, lavender use everything basically orange helps depression tea tree isnt best scent
RebelLoveLiz, realized depression got worse im considering many doctors see point quit job
RebelLoveLiz, hey sorry depressed today
RebelLoveLiz, im course struggling hardcore depression birthday
RebelLoveLiz, hi told job depression killing dont think anymore uh
RebelLoveLiz, tell job youre struggling depression
RebelLoveLiz, im struggling hardcore depression everything think quit job
RebelLoveLiz, depression made semi awful thoughts rough
slw_____, bruh depression well cat used dog always
slw_____, accidentally listened bon iver way home im deeply depressed madly love imagining snow
slw_____, flip side abusing stimulants also extremely adverse effects someone depression bpd th
Meghan92494750, thats awesome nice relaxing hobbie helps take away stress anxiety
Meghan92494750, aww iam sorry suzanne try calm know anxiety attacks worst ever
Elizaaaa14, life hey gotta go school work today fun depression peeks around corner mnim
giraffetounge, lately waking depressed af determined punch depression face everyday
dennismyhero, worst time year crippling depression
dennismyhero, nothing good happening life depressed
dennismyhero, boxed wine xanax best addiction
dennismyhero, never got gym membership tho crippling depression
fancypantswhat, best luck also adhd recently started taking meds ive read treating adhd also
fancypantswhat, social media lately absolute mire bad feelings youre still trying work trauma
fancypantswhat, holy shit dermatillomania adhd commonly linked really explain much
cheryl_martin1, depression anxiety insomnia every moment every day nightmare
theloniousme, serious note adore game helped immensely anxiety issues believe
themarmalade, keep reminding else forget get depressed quit working toward things
themarmalade, alright best way get anxiety less time write go write prove wrong gu
themarmalade, nothing really im big baby cant work normal adult job without feeling completely hopeless depressed
LiamForHero, know anxiety cause depression two years ago hard talk want help
LiamForHero, world dont understand people anxiety depression take care
LiamForHero, anxiety hard keep people dont understand going
hunvikt, fight depression homesickness sometimes need spend money todays special present mys
hunvikt, worked july little bit depressed last days think come back soon
MicroNovelties, true bipolar story think fixed things person blamed breakdown today might friends ag
MicroNovelties, damaged madness death anchor die else fails die haiku bipolar depression recoverednow vss365
MicroNovelties, true bipolar story mum amp dad age many adult juggling balls air full time jobs
MicroNovelties, contentment abstinence anxiety depending flavour pause
MicroNovelties, true bipolar story person massively fell fallout last episode famou
MicroNovelties, tiny bipolar story climbing many years hard moves wanted make wasnt capable
MicroNovelties, true bipolar story apologising friendscolleagues etc apologising new people psychosis two diff
MicroNovelties, highly deletable musings bipolar relationships one arrived rather cut infront
MicroNovelties, hey mn youve made nasty bipolar psychotic breakdown without sinking deep depression fee
MicroNovelties, went consultant suicidal thoughts told depressed read books depres
MicroNovelties, wrote something longer vss365 misery state know well bipolar many feelings
MicroNovelties, true bipolar story im intercity bus trip weve stopped bus station city halfway
Kata_jessika, part got struggled depression years anxiety years years
Kata_jessika, family thing told family anxiety havent told abo
Kata_jessika, crazy fast mood goes happy depressed without bigger reason
Kata_jessika, really help anxiety tweet something like gives hope makes
Kata_jessika, today awful day one anxiety attack school home hopefully tomorrow little bi
Kata_jessika, things come school fucking anxiety attack walk see people
AjRyan04, depression suck im freaking immobilized upset cant want
AjRyan04, im kind tired food tasting like nothingdepression anxiety mentalhealth mdd gad invisibleillness
AjRyan04, anxiety pain nerve pain ugh chronicillness mentalhealth chronicpain invisibleillness nosunburn nervepain gad mdd anxiety
AjRyan04, unbelievably tired writing sleep worse worse anxiety increasing roar nanowrimo
AjRyan04, depression hate live world cant say freely even wont
AjRyan04, pen pal want make postcards anxiety pops want good
AjRyan04, want try striving something depression pushing hard inpain depression depressionsucks
AjRyan04, feel another intensive bout soul searching coming onwriterslife writerproblems anxiety timeforchange
abisomjen, whoever invented depression gonna turn start crying class lol
abisomjen, wish depression would let know stopping could warn loved ones
abisomjen, depression actual thing pleaselmk
abisomjen, amount stress get normal everyday things alarming
Nct_Kam, amazing job good best night life post concert depression
RehabElevate, selfexpression selfknowledge selfimprovement part holistic addiction recovery program
RehabElevate, yoga addiction recovery flexibility simply able stretch flexibility mi
RehabElevate, contact one addiction treatment specialists today learn change life better ju
